,,,,,Unick++,,,QuickSampler,,,Unigen2
Benchmark,|S|,Vars,Clauses,Solutions,Acc,t_{avg},\hat(t_{avg}),QAcc,Qt_{avg},Q\hat(t_{avg}),Ut_{avg}
blasted_case47,28,118,328,2.621E+05,0.432,0.040,1.159,0.564,0.029,0.992,1.22E+01
blasted_case110,17,287,1263,1.638E+04,0.781,0.095,3.815,0.822,0.044,4.219,1.51E+00
blasted_squaring7,72,1628,5837,2.744E+11,0.329,0.536,26.711,0.112,0.363,26.638,8.06E+03
blasted_case_1_b12_2,45,827,2725,2.749E+11,0.766,0.081,7.986,0.739,0.089,6.727,6.40E+03
s820a_7_4,23,616,1703,5.919E+05,0.771,0.083,3.821,0.770,0.063,3.695,5.02E+01
s820a_15_7,23,685,1987,7.229E+05,0.756,0.091,4.349,0.674,0.071,4.236,4.75E+01
s1238a_3_2,32,686,1850,2.466E+09,0.938,0.075,4.456,0.936,0.077,3.953,4.69E+03
s1196a_3_2,32,690,1805,1.038E+09,0.881,0.077,4.452,0.803,0.067,3.417,4.04E+03
s832a_15_7,23,693,2017,3.713E+06,0.864,0.096,4.796,0.818,0.070,4.651,2.68E+02
70.sk_3_40,40,4670,15864,8.590E+09,0.790,0.546,39.795,1.000,0.606,40.962,6.65E+04
56.sk_6_38,38,4842,17828,3.691E+09,0.794,0.288,29.507,0.930,0.342,28.648,2.45E+04
35.sk_3_52,52,4915,10547,4.398E+12,0.793,0.114,13.861,1.000,0.154,16.776,6.72E+04
80.sk_2_48,48,4969,17060,1.100E+12,0.828,0.414,42.289,1.000,0.636,46.223,6.61E+04
7.sk_4_50,50,6683,24816,2.199E+12,0.814,0.499,61.411,1.000,0.786,66.245,2.33E+05
19.sk_3_48,48,6993,23867,2.960E+12,0.818,0.632,62.095,0.937,0.741,65.459,6.03E+05
29.sk_3_45,45,8866,31557,3.479E+11,0.783,0.814,83.259,0.855,1.152,90.612,2.30E+06
17.sk_3_45,45,10090,27056,2.749E+11,0.829,0.539,63.655,1.000,0.978,64.084,3.14E+06
81.sk_5_51,51,10775,38006,1.814E+13,0.805,0.959,88.888,0.867,1.567,90.429,1.62E+06
77.sk_3_44,44,14535,27573,1.825E+10,0.751,0.663,60.300,0.966,1.037,71.249,2.65E+06
20.sk_1_51,51,15475,60994,3.711E+13,0.822,1.033,142.543,0.910,1.854,146.829,4.38E+06
ProcessBean.sk_8_64,64,4768,14458,7.009E+12,0.636,0.313,54.993,0.906,0.543,67.578,9.75E+04
LoginService2.sk_23_36,36,11511,41411,1.638E+05,0.420,1.556,198.628,0.724,1.719,195.950,5.84E+01
sort.sk_8_52,52,12125,49611,8.805E+10,0.620,1.959,466.005,0.625,4.761,517.806,7.39E+05
enqueueSeqSK.sk_10_42,42,16466,58515,3.355E+09,0.610,2.325,520.468,0.762,4.214,689.608,1.30E+05
